Population_group,Population_Categorisation,population,TDS_FC_Code,TDS_FC_label,NumRespondents,PercentConsumers,Mean_grams_per_person_per_day,Mean_flag,Mean_SE,Mean_LCL,Mean_UCL,Mean_CV,P50,P50_flag,P50_SE,P50_LCL,P50_UCL,P50_CV,P90,P90_flag,P90_SE,P90_LCL,P90_UCL,P90_CV,P95,P95_flag,P95_SE,P95_LCL,P95_UCL,P95_CV
All people,Standard DRI age groups,1-3 yr,AA01,milk_whole,1288,49.1,209.5,,15.15,179.74,239.27,7.23,0,,10.5,0,20.63,0,670.89,,34.66,602.79,738.99,5.17,788.63,,36.87,716.18,861.08,4.68
All people,Standard DRI age groups,1-3 yr,AA02,milk_2%,1288,45.6,130.69,,11.45,108.18,153.19,8.76,0,,1.86,0,3.65,0,433.66,,27.57,379.5,487.82,6.36,624.84,,60.32,506.32,743.36,9.65
All people,Standard DRI age groups,1-3 yr,AA03,milk_1%,1288,14.5,31.21,E,7.56,16.36,46.06,24.22,0,,6.66,0,13.09,0,,F,,,,341.25,,F,,,,40.23
All people,Standard DRI age groups,1-3 yr,AA04,milk_skim,1288,11.2,10,F,,,,39.05,0,,2.72,0,5.35,0,,F,,,,135.14,,F,,,,95.88
All people,Standard DRI age groups,1-3 yr,AA05,evaporated milk_canned,1288,0.2,10,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Standard DRI age groups,1-3 yr,AA06,cream,1288,4.4,10,F,,,,36.7,0,,310.25,0,609.55,0,0,,37.33,0,73.35,0,0,,9.29,0,18.25,0
All people,Standard DRI age groups,1-3 yr,AA07,ice cream,1288,9.3,6.72,E,1.25,4.27,9.17,18.6,0,,60.75,0,119.35,0,0,,9.62,0,18.9,0,59.34,E,16.22,27.47,91.21,27.33
All people,Standard DRI age groups,1-3 yr,AA08,yogurt,1288,49.9,62.19,,4.64,53.07,71.31,7.46,0,,13.52,0,26.57,0,179.95,,14.14,152.18,207.73,7.86,206.14,,9.04,188.38,223.9,4.39
All people,Standard DRI age groups,1-3 yr,AA09,cheese,1288,42.6,13.89,,1.41,11.12,16.66,10.15,0,,2.5,0,4.92,0,42,,3.65,34.82,49.18,8.69,60.12,,5.73,48.87,71.38,9.53
All people,Standard DRI age groups,1-3 yr,AA10,cheese_cottage,1288,1.7,10,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Standard DRI age groups,1-3 yr,AA11,cheese_processed,1288,7.2,1.24,E,0.31,0.63,1.85,25,0,,18.34,0,36.03,0,0,,4.44,0,8.72,0,13.14,E,4.32,4.66,21.62,32.88
All people,Standard DRI age groups,1-3 yr,AA12,butter,1288,14.9,0.93,,0.12,0.69,1.17,12.9,0,,4.68,0,9.19,0,4.57,E,0.81,2.98,6.17,17.72,5.43,E,0.99,3.49,7.38,18.23
All people,Standard DRI age groups,1-3 yr,AA13,chocolate milk_1%,1288,4.1,10.46,E,2.64,5.27,15.65,25.24,0,,1137.81,0,2235.47,0,0,,69.14,0,135.85,0,0,,44.52,0,87.47,0
